category,rating,label,text,word_count,excl_count
Kindle_Store_5,3,CG,"Eva is on her to find a way to escape her abusive mother. When she meets a handsome stranger she doesn't know is the man she wants but the man she wants is strong and handsome. She is in love with him and will do anything to get her happily ever after.

I loved this book! I can't wait to see how the next book comes out!I received a free copy of this book from the author for an honest review.

This book was so good. I loved it. I loved the character development. I loved the relationship between the two main characters. The romance was real, and the story flowed at a great pace. It was a fun read. I would definitely recommend this book to anyone.I received this book for an honest review.  This is my first book by this author and I was very happy to see it.  I love the characters and the plot.  I will definitely be looking for more by this author.  This is a great series and I look forward to reading more from this author",183,2
Clothing_Shoes_and_Jewelry_5,5,CG,"This is my second Glamorise and I love the look. I will keep this bag in my wardrobe.I bought this for my son, he loves it! He wears it often and it's comfortable. I have been wearing it every day for about 2 years and it still holds up. I love it. I have a wide foot and I can wear it on my feet all day long. I just wish there was more pockets for items that go in one",81,1
Kindle_Store_5,4,OR,I absolutely love this series. The Ravens are the hottest protection force there is. They will do anything to protect and provide for their Fated. Can't wait to start the next book.,32,0
Movies_and_TV_5,5,CG,"Probably best movie Rutger Howerton has made. Not too many people make a movie like this. If you want to watch a movie with Rutger Howerton, you will like this one. It is a very good movie.",37,0
Clothing_Shoes_and_Jewelry_5,5,OR,"Unfortunately the black didn't work for a lot of my dresses. I wanted to love it ! The quality is beautiful and shipment and packing super cute. Hopefully, if I order the cream will work out better for me... if I order the other color will leave another review with pictures of what it worked with :)",57,1
Sports_and_Outdoors_5,3,OR,"I have mixed emotions about this water filter system. I love how it is hung from a tree, and doesn't require pumping, but I did run into problems. I used it for a week in Boundary Waters, at least the bag. After 4 days,providing water for 6 people, the filter was completely clogged, and is incapable of being back flushed. The pre-filter screen was not fine enough to catch the ""material/ suspected tannin"" in the BWCA water. I eventually attached a Sawyer inline filter to the outlet hose which got me through the last 4 days. My Base Camp Pro did come with the new and improved filer, but it couldn't handle what I needed it to. I love the idea, but was pretty disappointed.",125,0
Clothing_Shoes_and_Jewelry_5,5,CG,"I really like these shoes. They have the wide toe box that most people need, and the heel is a little too wide. I am a 32D, and these are a little large for",34,0
Movies_and_TV_5,4,OR,"This is a strong production filled with beautiful and dramatic singing, and Wixell's playing a dual role tightens the story. Some artistic lapses in the directing are made up for by the exceptional final act.",35,0
Tools_and_Home_Improvement_5,4,CG,"I have had this in use for over a year and I have not had a problem.  The light is bright enough to see your feet and then the light goes on and off again.  The bulb is not dimmable so it will not last long.  I have had no issues with it.  I have the option of changing the color of the light to a white or a blue.  This light is not meant for camping.  I have a camping trailer so I have not had to change it yet.  The light does not provide any illumination, so I have",101,0
Movies_and_TV_5,4,OR,"I had heard about 24 for a long time before ever seeing it.  I finally saw an episode a few weeks ago and thought it was quite good.  I ended up deciding to watch the first season.

It was certainly a highly entertaining show with no end to the action.  It contains murder, espionage, terrorism, traitors, kidnapping and a presidential assassination plot.  And that is all in one day.

The concept of the show is that each episode represents one hour of a day in real time.  The hero, federal anti terrorist agent Jack Bauer, encounters more action in two hours than any 50 average people do in their entire lives.

Although some of the events are certainly implausible in the time frames allotted, it is great entertainment.  Although I am not much of a TV watcher, I may just become one for this show.  I recommend it.",148,0
