category,rating,label,text,word_count,excl_count,tfidf_svd_0,tfidf_svd_1,tfidf_svd_2,tfidf_svd_3,tfidf_svd_4,tfidf_svd_5,tfidf_svd_6,tfidf_svd_7,tfidf_svd_8,tfidf_svd_9,tfidf_svd_10,tfidf_svd_11,tfidf_svd_12,tfidf_svd_13,tfidf_svd_14,tfidf_svd_15,tfidf_svd_16,tfidf_svd_17,tfidf_svd_18,tfidf_svd_19,tfidf_svd_20,tfidf_svd_21,tfidf_svd_22,tfidf_svd_23
Toys_and_Games,2,CG,The interactive features are limited and not very engaging. The books are expensive and the system is clunky. Would not recommend for older kids.,24,0,-0.07801535903664095,0.021088296556227185,-0.013409484103971718,0.007846747774303463,-0.011796805240154846,-0.0018777578558441777,-0.002241351144122114,0.04799437423021291,-0.009261324474919246,0.0284281971398546,0.0012454179296718267,-0.009479220745872357,-0.0074954728665277545,0.05179299172409929,-0.0061627015248539195,-0.018710792075088564,0.005360963811395744,-0.006031832792151667,0.029312142259141423,0.0061037334372051645,0.0013368369154637795,0.01339700812812143,0.0027124826999338283,-0.0014279047429424253
Home_and_Kitchen_5,4,OR,"I wanted a good sturdy slip cover to protect my chairs from kids.  These do that job well.  They get dirty, but they are easy to take on and off and wash up in the washing machine really well.  I'd buy them again.",43,0,-0.09799204085786647,0.017005651034416504,-0.010144849688890697,-0.01710259409434573,-0.0004679408629817055,-0.016964832957213193,-0.0006823975445894785,0.012001037197334294,0.013472659982827545,0.041280315394171506,0.00973628822134541,0.0017836960572076134,0.04234613117908672,-0.0022731519049391203,0.04814463756095654,-0.029030414534550318,-0.0029808013174153747,0.025438064772659003,0.03703296807988427,0.013149653652289624,0.0020803806854353462,-0.025509928659125936,0.03296322079167903,0.0061579304896575895
Pet_Supplies_5,5,OR,"Absolutely amazing product. A little tricky learning to put on at first but the instructions are extremely helpful. Dog fought it a lil but after two minutes was walking great , acclimated to eat very quickly. 8 month dog used to pull and make walks miserable, its actually unbelievable how well this product works. Thank you, thank you , thank you !!!!",62,4,-0.08914734705031654,0.01983337069552671,0.004800076305399746,-0.004269718476041064,0.02167695311616252,0.04025379681645532,0.015915904921127683,-0.012098201428128456,0.006551328215653381,-0.0009734989964523117,-0.017144429412805813,0.013143819483667316,0.0017741893531440798,0.014192724381416402,0.021312371374284787,0.003100566698211534,-0.0038852106597823464,0.004256950959823096,0.006557999301546733,-0.0042631369194392026,0.004259996384661587,0.003591409352450056,-0.029652864445310043,0.02878363785951504
Movies_and_TV_5,5,OR,"High Noon is one of my husband's all time favorites. It's got some terrific lines in it. He's always quoting one of them. I bought this for his 71st birthday and he watches it at least twice a month. We like the fact that in the day and time this movie was made, foul language was unacceptable! Oh, that this was true today! It's a ""must see"" movie and worth every penny to buy it.",75,2,-0.08677319872297085,-0.045338851778047126,-0.007253907629222301,0.0473239550224298,0.02267042108818169,-0.030373302622404626,0.0207444526633458,-0.01815248721532063,0.002160507128291671,-0.014643971756408272,-0.014362697849075528,0.005669391053037171,0.005069261724262693,0.016250669178947925,-0.009519991940978736,0.009536471739189888,0.0013185821495998954,0.009186812096847704,0.0022472962032228966,0.0033390665999238206,0.016942953890061677,0.0009587391716033555,-0.005932824525655014,-0.005138030908485782
Toys_and_Games_5,4,CG,"My son is very into this toy and the materials are good.  He loves the figures and the colors are bright.  I am very happy with the purchase.This is a great gift for a grandson. It was a little pricey for what it is, but it was worth it.  The 2 year old is going to love it.great quality and fast shippingThese are great! I just wish there were more colors. But for the price I expected a good product.These are great for bath time, but the little kids will get bored with them. I recommend them for a bath or playtime.A must have for any Lego enthusiast.  I bought these for my kids as Christmas gifts and they love them.  They are sturdy, cute, and I love them!  My 3 year old loves them.  I have no complaints about this.  We just love to put them together and then put them back together.  I like that they are not plastic.  They are made of good quality plastic.  They are made of durable, durable plastic.  The pieces are very durable, very strong, and I like that they have a",189,2,-0.1120565532968785,0.0173617602584075,0.0008764610448099024,-0.024484860505354172,0.014689975207884877,-0.02724509803124241,0.015099827011299194,-0.023651533438412167,0.0016492231860072086,0.028914379401793984,0.009224426717387138,-0.03274568919847064,0.0072840607820578015,0.01534962430989039,-0.00651317808911053,-0.028600826104916217,0.00484630360171679,0.0161369210102747,0.010844456640867656,0.01629943786278601,0.0021149169395735783,-0.0006686296042104868,0.03084038551298092,-0.020370944458477695
Tools_and_Home_Improvement,2,CG,"Grip is not comfortable, especially for extended use.",8,0,-0.10225144280403708,0.0465419077262036,-0.00950195150431872,-0.062437165958544066,0.0859420048082713,-0.0503592384117085,-0.03392571148437235,0.16664451433993038,0.0062830321218676315,0.025686953534480757,0.04509153372213646,-0.005782440047099916,0.14162338291238666,-0.15260052585500725,-0.04895192028109615,0.2196724649122643,-0.026432934421726218,0.06936705504080339,-0.0039228460203434914,-0.053439125974625835,-0.03873725267307673,0.1271942584275949,-0.013038911375247484,0.07197201896728211
Electronics,4,CG,"Versatile 2-in-1 design with reliable performance and a vibrant display. The keyboard is comfortable, and the battery life is good. However, it's a bit heavy for a convertible laptop, and the fan can be noisy. Overall, a solid choice for those looking for flexibility.",44,0,-0.07422368419826841,0.00022346644274976192,-0.003762136703902187,-0.0434884111637678,0.009523138954380993,-0.008668863045315212,-0.0031855432663926955,0.09476720114240138,-0.014885214128821678,-0.02383493882438092,0.016523133399806766,0.02932548467186959,0.00705214868134511,0.02486623424827588,-0.015097375682381828,0.07409306274653095,0.005448671768807529,0.0483003556603366,-0.08096913992345205,0.05292699889360256,-0.015364561054328837,-0.015409742785414425,-0.01840443951209369,-0.014943618291698024
Toys_and_Games_5,5,CG,"This marble set is exactly what it says it is. It is sturdy, well made, and has a lot of unique features.",22,0,-0.0868640851007558,0.01562347683932156,-0.009061418923795334,-0.0007250177286078109,-0.010267835509965913,0.005135258137567174,0.008856761537650526,0.024205618581949955,-0.004031240554524781,-0.013847495060483698,0.0018696220055215164,0.01822988058324086,0.008524269123454178,0.016944010877576545,-0.009804158287905824,0.0008961907969155039,-0.0001173350931479733,-0.012282102809740424,0.026868957987443827,-0.01756089563952593,-0.0003143826566491768,-0.005588761935854166,-0.008504361403895922,-0.038776217039001075
Kindle_Store_5,5,OR,"This was an EXCELLENT love story well written and erotic. The sex was hot and sensual, the friendship between the characters was awesome.",23,0,-0.09403283399219242,-0.0041574816680454195,-0.022267004927779048,0.054073548276296596,-0.08987067346328764,0.06635268598280271,-0.03745968099686529,0.02585368529636169,0.008088859685268693,-0.009463532256390746,0.02354842678218026,-0.028107518945958462,0.007777146552151452,-0.007983505256067265,-0.020229841387315078,0.00631871013193803,-0.007428497367925453,-0.00016413812821414102,-0.0007728504140657958,-0.023811799801319193,0.033489946116140014,-0.044036786527397995,0.055566317344686186,-0.0365864262077551
Clothing_Shoes_and_Jewelry_5,5,CG,"Love this! Made well, flows, looks good, and fits well.",10,1,-0.13364769120120218,-0.05495735666514971,-0.0019162246895996732,-0.07467344724447778,-0.07417109149969209,0.039456557607837346,-0.045484288519672206,-0.029467963843574793,0.03907447792942232,0.036504344279262635,0.037062398252125386,0.012900095044258443,0.09900159711348419,-0.013971915141367905,0.0026687034172469997,0.033649280348407126,-0.010686621157204566,0.00939251895050696,0.0209852682491366,-0.01459282442768356,-0.05218718824246852,-0.09170560529053905,0.07211305292717653,-0.11758307963980744
